Original_Diagnosis,ICD_Code,ICD_Description,Match_Score,Suggested_Alternatives,Justification
"Acquired absence of organ, genital organs",Z9079,Acquired absence of other genital organ(s),89.1566265060241,,Fuzzy matched to: 'Acquired absence of other genital organ(s)' with score 89.1566265060241
"Coronary atherosclerosis of unspecified type of vessel, native or graft",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
"Hyperlipidemia, unspecified",E785,"Hyperlipidemia, unspecified",100.0,,"Fuzzy matched to: 'Hyperlipidemia, unspecified' with score 100.0"
"Other acute and subacute forms of ischemic heart disease, other",A0102,Typhoid fever with heart involvement,85.5,,Fuzzy matched to: 'Typhoid fever with heart involvement' with score 85.5
Long-term (current) use of anticoagulants,Z7901,Long term (current) use of anticoagulants,97.5609756097561,,Fuzzy matched to: 'Long term (current) use of anticoagulants' with score 97.5609756097561
Heart valve replaced by transplant,B088,Other specified viral infections characterized by skin and mucous membrane lesions,85.5,,Fuzzy matched to: 'Other specified viral infections characterized by skin and mucous membrane lesions' with score 85.5
Personal history of hodgkin's disease,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Rash and other nonspecific skin eruption,R21,Rash and other nonspecific skin eruption,100.0,,Fuzzy matched to: 'Rash and other nonspecific skin eruption' with score 100.0
Presence of coronary angioplasty implant and graft,Z955,Presence of coronary angioplasty implant and graft,100.0,,Fuzzy matched to: 'Presence of coronary angioplasty implant and graft' with score 100.0
Multiple involvement of mitral and aortic valves,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
"Unspecified asthma, uncomplicated",J45909,"Unspecified asthma, uncomplicated",100.0,,"Fuzzy matched to: 'Unspecified asthma, uncomplicated' with score 100.0"
Occlusion and stenosis of right carotid artery,I6521,Occlusion and stenosis of right carotid artery,100.0,,Fuzzy matched to: 'Occlusion and stenosis of right carotid artery' with score 100.0
Aortic valve disorders,I358,Other nonrheumatic aortic valve disorders,87.90697674418604,,Fuzzy matched to: 'Other nonrheumatic aortic valve disorders' with score 87.90697674418604
Personal history of Hodgkin lymphoma,Z8571,Personal history of Hodgkin lymphoma,100.0,,Fuzzy matched to: 'Personal history of Hodgkin lymphoma' with score 100.0
Personal history of tobacco use,Z720,Tobacco use,85.71428571428571,,Fuzzy matched to: 'Tobacco use' with score 85.71428571428571
Gastro-esophageal reflux disease without esophagitis,K219,Gastro-esophageal reflux disease without esophagitis,100.0,,Fuzzy matched to: 'Gastro-esophageal reflux disease without esophagitis' with score 100.0
Encounter for immunization,Z23,Encounter for immunization,100.0,,Fuzzy matched to: 'Encounter for immunization' with score 100.0
Long term (current) use of antithrombotics/antiplatelets,Z7902,Long term (current) use of antithrombotics/antiplatelets,100.0,,Fuzzy matched to: 'Long term (current) use of antithrombotics/antiplatelets' with score 100.0
Dissection of abdominal aorta,I7102,Dissection of abdominal aorta,100.0,,Fuzzy matched to: 'Dissection of abdominal aorta' with score 100.0
Non-ST elevation (NSTEMI) myocardial infarction,I214,Non-ST elevation (NSTEMI) myocardial infarction,100.0,,Fuzzy matched to: 'Non-ST elevation (NSTEMI) myocardial infarction' with score 100.0
Long term (current) use of aspirin,Z7982,Long term (current) use of aspirin,100.0,,Fuzzy matched to: 'Long term (current) use of aspirin' with score 100.0
"Secondary cardiomyopathy, unspecified",G729,"Myopathy, unspecified",87.8048780487805,,"Fuzzy matched to: 'Myopathy, unspecified' with score 87.8048780487805"
Cardiac pacemaker in situ,A6922,Other neurologic disorders in Lyme disease,85.5,,Fuzzy matched to: 'Other neurologic disorders in Lyme disease' with score 85.5
Accidents occurring in other specified places,A0472,"Enterocolitis due to Clostridium difficile, not specified as recurrent",85.5,,"Fuzzy matched to: 'Enterocolitis due to Clostridium difficile, not specified as recurrent' with score 85.5"
Rheumatic tricuspid insufficiency,I071,Rheumatic tricuspid insufficiency,100.0,,Fuzzy matched to: 'Rheumatic tricuspid insufficiency' with score 100.0
Automatic implantable cardiac defibrillator in situ,B5731,Megaesophagus in Chagas' disease,85.5,,Fuzzy matched to: 'Megaesophagus in Chagas' disease' with score 85.5
"Chronic kidney disease, unspecified",N189,"Chronic kidney disease, unspecified",100.0,,"Fuzzy matched to: 'Chronic kidney disease, unspecified' with score 100.0"
Personal history of malignant neoplasm of kidney,Z85528,Personal history of other malignant neoplasm of kidney,95.0,,Fuzzy matched to: 'Personal history of other malignant neoplasm of kidney' with score 95.0
Rheumatic disorders of both mitral and tricuspid valves,I081,Rheumatic disorders of both mitral and tricuspid valves,100.0,,Fuzzy matched to: 'Rheumatic disorders of both mitral and tricuspid valves' with score 100.0
Family history of ischemic heart disease and other diseases of the circulatory system,Z8249,Family history of ischemic heart disease and other diseases of the circulatory system,100.0,,Fuzzy matched to: 'Family history of ischemic heart disease and other diseases of the circulatory system' with score 100.0
"Body Mass Index 32.0-32.9, adult",Z6832,"Body mass index [BMI] 32.0-32.9, adult",85.71428571428572,,"Fuzzy matched to: 'Body mass index [BMI] 32.0-32.9, adult' with score 85.71428571428572"
Acquired absence of kidney,Z905,Acquired absence of kidney,100.0,,Fuzzy matched to: 'Acquired absence of kidney' with score 100.0
"Insomnia, unspecified",G4700,"Insomnia, unspecified",100.0,,"Fuzzy matched to: 'Insomnia, unspecified' with score 100.0"
Chronic passive congestion of liver,K761,Chronic passive congestion of liver,100.0,,Fuzzy matched to: 'Chronic passive congestion of liver' with score 100.0
"Anxiety state, unspecified",A0220,"Localized salmonella infection, unspecified",85.5,,"Fuzzy matched to: 'Localized salmonella infection, unspecified' with score 85.5"
Paroxysmal ventricular tachycardia,D595,Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli],85.5,,Fuzzy matched to: 'Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli]' with score 85.5
"Gout, unspecified",M109,"Gout, unspecified",100.0,,"Fuzzy matched to: 'Gout, unspecified' with score 100.0"
"Adverse effect of unspecified antipsychotics and neuroleptics, sequela",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Anuria and oliguria,R34,Anuria and oliguria,100.0,,Fuzzy matched to: 'Anuria and oliguria' with score 100.0
Barrett's esophagus without dysplasia,K2270,Barrett's esophagus without dysplasia,100.0,,Fuzzy matched to: 'Barrett's esophagus without dysplasia' with score 100.0
Renal agenesis and dysgenesis,A09,"Infectious gastroenteritis and colitis, unspecified",85.5,,"Fuzzy matched to: 'Infectious gastroenteritis and colitis, unspecified' with score 85.5"
"Mechanical complication of other vascular device, implant, and graft",A0109,Typhoid fever with other complications,85.5,,Fuzzy matched to: 'Typhoid fever with other complications' with score 85.5
Home accidents,,,72.0,"[{'ICD_Code': 'Z043', 'ICD_Description': 'Encounter for examination and observation following other accident', 'Score': 72.0}, {'ICD_Code': 'Z041', 'ICD_Description': 'Encounter for examination and observation following transport accident', 'Score': 70.43478260869566}, {'ICD_Code': 'Z042', 'ICD_Description': 'Encounter for examination and observation following work accident', 'Score': 70.43478260869566}]",No confident match (top score 72.0). Suggested alternatives provided.
Other secondary pulmonary hypertension,I2729,Other secondary pulmonary hypertension,100.0,,Fuzzy matched to: 'Other secondary pulmonary hypertension' with score 100.0
Other left bundle branch block,A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
Other specified misadventures during medical care,Y658,Other specified misadventures during surgical and medical care,95.0,,Fuzzy matched to: 'Other specified misadventures during surgical and medical care' with score 95.0
Long-term (current) use of aspirin,Z7982,Long term (current) use of aspirin,97.05882352941177,,Fuzzy matched to: 'Long term (current) use of aspirin' with score 97.05882352941177
Diseases of tricuspid valve,A154,Tuberculosis of intrathoracic lymph nodes,85.5,,Fuzzy matched to: 'Tuberculosis of intrathoracic lymph nodes' with score 85.5
"Leukocytosis, unspecified",A0220,"Localized salmonella infection, unspecified",85.5,,"Fuzzy matched to: 'Localized salmonella infection, unspecified' with score 85.5"
Dilated cardiomyopathy,I420,Dilated cardiomyopathy,100.0,,Fuzzy matched to: 'Dilated cardiomyopathy' with score 100.0
Personal history of other venous thrombosis and embolism,Z86718,Personal history of other venous thrombosis and embolism,100.0,,Fuzzy matched to: 'Personal history of other venous thrombosis and embolism' with score 100.0
Cardiomyopathy due to drug and external agent,I427,Cardiomyopathy due to drug and external agent,100.0,,Fuzzy matched to: 'Cardiomyopathy due to drug and external agent' with score 100.0
"Nausea with vomiting, unspecified",R112,"Nausea with vomiting, unspecified",100.0,,"Fuzzy matched to: 'Nausea with vomiting, unspecified' with score 100.0"
Do not resuscitate,Z66,Do not resuscitate,100.0,,Fuzzy matched to: 'Do not resuscitate' with score 100.0
"Paranoid type schizophrenia, chronic",B9733,"Human T-cell lymphotrophic virus, type I [HTLV-I] as the cause of diseases classified elsewhere",85.5,,"Fuzzy matched to: 'Human T-cell lymphotrophic virus, type I [HTLV-I] as the cause of diseases classified elsewhere' with score 85.5"
"Depressive disorder, not elsewhere classified",A0472,"Enterocolitis due to Clostridium difficile, not specified as recurrent",85.5,,"Fuzzy matched to: 'Enterocolitis due to Clostridium difficile, not specified as recurrent' with score 85.5"
"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",I130,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",93.0612244897959,,"Fuzzy matched to: 'Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease' with score 93.0612244897959"
Other chronic pulmonary heart diseases,A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
Nonrheumatic tricuspid (valve) insufficiency,I361,Nonrheumatic tricuspid (valve) insufficiency,100.0,,Fuzzy matched to: 'Nonrheumatic tricuspid (valve) insufficiency' with score 100.0
"Obesity, unspecified",E669,"Obesity, unspecified",100.0,,"Fuzzy matched to: 'Obesity, unspecified' with score 100.0"
Iron deficiency anemia secondary to blood loss (chronic),D500,Iron deficiency anemia secondary to blood loss (chronic),100.0,,Fuzzy matched to: 'Iron deficiency anemia secondary to blood loss (chronic)' with score 100.0
Hyposmolality and/or hyponatremia,E871,Hypo-osmolality and hyponatremia,92.3076923076923,,Fuzzy matched to: 'Hypo-osmolality and hyponatremia' with score 92.3076923076923
"Anxiety disorder, unspecified",F419,"Anxiety disorder, unspecified",100.0,,"Fuzzy matched to: 'Anxiety disorder, unspecified' with score 100.0"
Fitting and adjustment of cardiac pacemaker,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Undiagnosed cardiac murmurs,I233,Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction,85.5,,Fuzzy matched to: 'Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction' with score 85.5
Other and unspecified hyperlipidemia,A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Personal history of other malignant neoplasm of kidney,Z85528,Personal history of other malignant neoplasm of kidney,100.0,,Fuzzy matched to: 'Personal history of other malignant neoplasm of kidney' with score 100.0
"Body Mass Index 27.0-27.9, adult",Z6827,"Body mass index [BMI] 27.0-27.9, adult",85.71428571428572,,"Fuzzy matched to: 'Body mass index [BMI] 27.0-27.9, adult' with score 85.71428571428572"
"Paranoid type schizophrenia, unspecified",F209,"Schizophrenia, unspecified",88.23529411764706,,"Fuzzy matched to: 'Schizophrenia, unspecified' with score 88.23529411764706"
Acute respiratory failure with hypoxia,J9601,Acute respiratory failure with hypoxia,100.0,,Fuzzy matched to: 'Acute respiratory failure with hypoxia' with score 100.0
Acute on chronic systolic (congestive) heart failure,I5023,Acute on chronic systolic (congestive) heart failure,100.0,,Fuzzy matched to: 'Acute on chronic systolic (congestive) heart failure' with score 100.0
Acute on chronic systolic heart failure,I5023,Acute on chronic systolic (congestive) heart failure,95.0,,Fuzzy matched to: 'Acute on chronic systolic (congestive) heart failure' with score 95.0
Other ascites,R188,Other ascites,100.0,,Fuzzy matched to: 'Other ascites' with score 100.0
Mechanical complication of automatic implantable cardiac defibrillator,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
